
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009107
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009112
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009114
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009115
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009118
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009119
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009121
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009122
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009144
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009150
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009166
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009167
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009168
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009170
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009234
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009235
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009237
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009241
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009243
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009245
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009249
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009253
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009256
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009259
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009284
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009288
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009289
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC009291
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC011056
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC011060
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC011061
logging: COLLECTOR (5): modified: ==>(D. & J. Styer)	(D. Styer)	(J. Styer)	UCSC011062
logging: COLLECTOR (5): modified: ==>(D. & J. Styer, fide B. Delgado)	(D. Styer)	(J. Styer, fide B. Delgado)	UCSC009142
logging: COLLECTOR (5): modified: ==>(D. Styer & B. Delgado)	(D. Styer)	(B. Delgado)	UCSC009258
logging: COLLECTOR (5): modified: ==>(D. Styer & J. Bergman)	(D. Styer)	(J. Bergman)	UCSC009099
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC009108
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC009109
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC009149
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC009179
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC009257
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC009270
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC009367
logging: COLLECTOR (5): modified: ==>(D. Styer & P. Smith)	(D. Styer)	(P. Smith)	UCSC011088
logging: COLLECTOR (5): modified: ==>(D. Styer & S. Aroche)	(D. Styer)	(S. Aroche)	UCSC009111
logging: COLLECTOR (5): modified: ==>(D. Styer & S. Aroche)	(D. Styer)	(S. Aroche)	UCSC009120
logging: COLLECTOR (5): modified: ==>(D. Styer & S. Aroche)	(D. Styer)	(S. Aroche)	UCSC009174
logging: COLLECTOR (5): modified: ==>(D. Styer & S. Chmielewski)	(D. Styer)	(S. Chmielewski)	UCSC009293
logging: COLLECTOR (5): modified: ==>(D. Styer & S. Chmielewski)	(D. Styer)	(S. Chmielewski)	UCSC009294
logging: COLLECTOR (5): modified: ==>(D. Styer & Suzy Worcester)	(D. Styer)	(Suzy Worcester)	UCSC011095
logging: COLLECTOR (5): modified: ==>(D. Styer & Suzy Worchester)	(D. Styer)	(Suzy Worchester)	UCSC011097
logging: COLLECTOR (5): modified: ==>(D. Styer & V. Yadon)	(D. Styer)	(V. Yadon)	UCSC011050
logging: COLLECTOR (5): modified: ==>(D. Styer & V. Yadon)	(D. Styer)	(V. Yadon)	UCSC011079
logging: COLLECTOR (5): modified: ==>(D. Styer & V. Yadon)	(D. Styer)	(V. Yadon)	UCSC011083
logging: COLLECTOR (5): modified: ==>(D. Styer & W. Wendt & R. Yeager)	(D. Styer)	(W. Wendt & R. Yeager)	UCSC011047
logging: COLLECTOR (5): modified: ==>(D. Styer & W. Wendt & R. Yeager)	(D. Styer)	(W. Wendt & R. Yeager)	UCSC011084
logging: COLLECTOR (5): modified: ==>(D. Styer & W. Wendt)	(D. Styer)	(W. Wendt)	UCSC011080
logging: COLLECTOR (5): modified: ==>(D. Styer & W. Wendt)	(D. Styer)	(W. Wendt)	UCSC011081
logging: COLLECTOR (5): modified: ==>(D. Styer & W. Wendt)	(D. Styer)	(W. Wendt)	UCSC011082
logging: COLLECTOR (5): modified: ==>(D. Styer & W. Wendt)	(D. Styer)	(W. Wendt)	UCSC011092
logging: COLLECTOR (5): modified: ==>(D. Styer and S. Worchester)	(D. Styer)	(S. Worchester)	UCSC011102
logging: COLLECTOR (5): modified: ==>(D. Styer, P. & P. Smith)	(D. Styer)	(P. Smith)	UCSC009389
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009571
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009589
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009591
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009595
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009661
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009663
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009667
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009669
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009670
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009677
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009680
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009681
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009684
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009687
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009691
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009713
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009714
logging: COLLECTOR (5): modified: ==>(D. Styer; J. Styer)	(D. Styer)	(J. Styer)	UCSC009715
